Job Name,Company,Location
Data Scientist / Munich,Ampstek,"Munich, Bavaria, Germany"
(Senior) Business Intelligence Analyst (m/w/d) Unternehmensberatung,univativ GmbH,"Munich, Bavaria, Germany"
Business Intelligence Specialist (m/w/d),Global Market Solutions - Germany,"Hannover, Lower Saxony, Germany"
Data Engineer,Zendr,"Frankfurt, Hesse, Germany"
Industrial Engineer Automation (m/f/x),Skeleton Technologies,Germany
Laboratory Technician (f/m/d) Biochemistry,Nanogami,"Markranstädt, Saxony, Germany"
(Junior) Business Analyst mit den Schwerpunkten Prozessoptimierung und Reporting (m/w/d),auguma.digital,"Munich, Bavaria, Germany"
Market Analyst Renewables (f/m/d),Uniper,"Cologne, North Rhine-Westphalia, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Düsseldorf, North Rhine-Westphalia, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Aachen, North Rhine-Westphalia, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Chemnitz, Saxony, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Dortmund, North Rhine-Westphalia, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Bonn, North Rhine-Westphalia, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Hannover, Lower Saxony, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Stuttgart, Baden-Württemberg, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Hamburg, Hamburg, Germany"
ESG Business Analyst,Metzler Asset Management,"Kiel, Schleswig-Holstein, Germany"
Research Engineer (m/w/d),infodas,"Frankfurt, Hesse, Germany"
Operations Analyst,Actalent,"Bonn, North Rhine-Westphalia, Germany"
Senior Program Manager,Apolitical Foundation,"Monheim, North Rhine-Westphalia, Germany"
"Internship/ Working student, Strategy & Business",Frieda Health,"Berlin, Berlin, Germany"
M&A Analyst (m/w/d),CARL,"Berlin, Berlin, Germany"
Commercial Planning Analyst (x/f/m),SellerX,"Berlin, Berlin, Germany"
Data Engineer,Vantage Consulting,"Berlin, Berlin, Germany"
Laboratory Technician (m/f/d),Futurepath,"Munich, Bavaria, Germany"
Werkstudent Data & Analytics (all genders),schleich®,"Stuttgart, Baden-Württemberg, Germany"
Business Analyst - Home Office / Firmenkundenfinanzierung (m/w/d),Workwise,"Schwäbisch Gmünd, Baden-Württemberg, Germany"
Associate,LATZER ASSOCIATES GROUP (LAG),"Bielefeld, North Rhine-Westphalia, Germany"
Wissenschaftliche/r Mitarbeiter/in (w/m/d) - Computational Optics,RWTH Aachen University,"Munich, Bavaria, Germany"
Working Student - HR Services / Process Improvement / HR Data Analysis / Excel (m/f/d),Workwise,"Aachen, North Rhine-Westphalia, Germany"
(Performance) Data Analyst (m/w/d),Michael Page,"Düsseldorf, North Rhine-Westphalia, Germany"
ANALYST INTERN M/F,IMPACT Partners,"Hamburg, Hamburg, Germany"
Energy Economist / Financial Expert,NTU International A/S,"Frankfurt, Hesse, Germany"
Business Development Intern,Cambrium,"North Rhine-Westphalia, Germany"
Product Manager - Alternative Payment Methods,payabl.,"Berlin, Berlin, Germany"
Data Engineer (m/w/d),CBTW,"Frankfurt, Hesse, Germany"
Internship - Project & Design Management,The Walt Disney Company,"Augsburg, Bavaria, Germany"
